Tension1; Tension2; Tension3; Tension4
24.07;24.07;-5.94;-0.95
24.07;24.07;-5.94;-0.95
24.07;24.07;-5.94;-0.95
24.07;24.07;-5.94;-0.95
24.07;24.07;-5.94;-0.95
24.07;24.07;-5.94;-0.95
24.07;24.07;-5.94;-0.95
24.07;24.07;-5.94;-0.95
24.07;24.07;-5.94;-0.95
24.07;24.07;-5.94;-0.95
24.07;24.07;-5.94;-0.95
24.07;24.07;-5.94;-0.95
24.07;24.07;-5.94;-0.95
24.07;24.07;-5.94;-0.95
24.07;24.07;-5.94;-0.95
24.07;24.07;-5.94;-0.95
24.07;24.07;-5.94;-0.95
24.07;24.07;-5.94;-0.95
24.07;24.07;-5.94;-0.95
24.07;24.07;-5.94;-0.95
24.07;24.07;-5.94;-0.95
24.07;24.07;-5.94;-0.95
24.07;24.07;-5.94;-0.95
24.07;24.07;-5.94;-0.95
24.07;24.07;-5.94;-0.95
